,LR,KNR,SVR,GPR,RF,XGB,organism
0,32.16129660553421,9.429243664953717,9.907574567981397,20.275409078579816,20.480965833105955,14.988250732421875,
1,9.083065892312298,13.517174465650646,2.221084495966557,15.664529070716465,20.92142661614859,14.311947250366211,
2,2.930660447796277,6.260612587763454,8.37901586312969,6.561236064044456,7.547652403082654,5.5085699717203775,
3,7.664583434117375,4.313164089293006,3.032323914279986,3.134848035942459,3.2450082356588252,4.569488779703777,
4,8.010647896938593,11.776771646696082,5.697925065112594,13.143447909368035,10.912292437213853,8.730306752522786,
5,5.089859749588676,8.491067688040683,10.33748530720144,6.192590115427456,6.431029885487613,4.396049753824871,
6,19.080917774224854,4.229166666666669,20.087805815539056,23.21880292086737,25.266144651582866,25.613608678181965,
7,18.037666903611218,4.159722222222224,32.61868441763688,29.265505776916523,22.25192408968895,19.559018834431967,
8,21.382533881162203,6.077777777777778,9.214962381578408,23.838841229082572,19.44076989395402,16.82574551900228,
9,22.674703605342387,8.035316462671414,12.127443272492433,21.012165257693255,18.77656794660343,14.520122909545899,
10,29.847053305340335,23.28333333333333,45.7981020016343,40.4883024068161,31.636757210024655,26.168669128417967,
11,25.592383792807613,8.329297866742953,24.075705310802444,45.18590461443286,40.46937145288497,37.274383290608725,
12,5.097436950811025,9.274580193110873,10.667814552031619,12.90125818330568,18.45952794736822,15.921806303660073,
13,49.67064767647372,57.822368653936266,56.80684442281955,56.6647512858007,59.388920218104,55.24088948567707,
14,15.534435276804393,16.680555555555554,3.858112319218544,6.339432659833563,14.392829142334884,12.967314847310385,
15,8.461293980399825,2.0841269841269843,2.6907541352622393,3.863139984670281,2.6772868152924296,6.412578392028808,
16,3.482854639323743,7.966666666666667,1.4877073136909158,8.21791962960573,5.720904407134769,5.072935771942139,
17,4.422717965196276,12.820185991006124,9.672504308509957,6.31356370353163,8.597512941537131,9.350690682729086,
18,13.743036274256605,8.971067285544757,2.589412774100742,4.027673075224387,6.864479775450542,6.096732076009115,
19,7.044028608694282,13.255555555555556,27.667333715763256,27.54344014842934,21.98960414334801,22.612170791625978,
21,10.090080040544589,10.539237831147537,13.12547523527661,18.512475886234977,22.94334494059327,22.30504430135091,
22,12.829974840641796,38.604448932781374,26.171366575765582,38.00512324118655,44.718412385114355,50.623816553751624,
23,9.038111471090755,8.934177599414877,5.1880564317529885,12.612055806885959,13.192592386346757,11.383330154418946,
24,6.9311262419254955,6.751109289368567,4.833815370725944,6.857867503110268,6.87247741457751,4.871013259887695,
25,8.161332658864294,19.12636934716184,6.0100949481417265,13.648440562223831,15.312262001373588,14.656892649332685,
26,26.80083660160158,6.0176620400968375,14.033994903381474,21.82838704505603,26.667872158222032,28.80500946044922,
27,7.851637300054103,13.238761959518694,4.285006258518955,20.180517850231645,19.187406619023196,16.983965555826824,
28,81.2466551758665,67.55098516391081,68.5018662997221,71.59287224017088,72.26625497346382,73.55668509801228,
29,63.14430938487742,56.90162067114143,63.260335088213104,89.5448368738511,86.2437153827066,84.96910127003987,
30,13.272223303479388,43.533436238328584,66.51450232763662,74.20098430187721,72.71773866791415,71.61173763275147,
31,24.376534279187123,19.132199632658843,38.60731876687014,16.920563674079744,20.81007591105316,15.260055001576742,
32,6.661188419573148,4.336461830870299,5.543866722208161,12.357600558633928,8.42797339775679,7.297304280598958,
34,3.098872483537768,17.456275040071894,25.292899992627955,4.749464364450493,25.226927880818454,21.139039770762125,
35,5.315954400093067,15.560925146110856,21.672979137330007,46.86593016050419,34.97575480237761,30.539251263936364,
36,28.94375287792346,23.071227373641317,12.149769790786126,10.3660327263954,12.531460326140468,9.710865879058838,
37,16.63019957218031,4.790444111285653,13.918105892315756,17.560185282494718,10.430947719670161,7.809955088297525,
38,8.460002741109037,3.7878544520016306,7.1974099342504605,12.70523392124365,13.037314070010344,18.358868869145713,
39,8.17929418167017,13.876347984334837,16.847672197084382,13.020185373505388,22.077767828451577,29.389462025960285,
40,43.091336415194064,65.4660523379417,62.95070868718034,44.27830009909306,45.38867653968649,53.862083180745444,
41,51.59435791015191,26.07061931816957,40.653290988201675,43.5145458805768,40.82803509864128,39.73815291722616,
