,LR,KNR,GPR,SVR,RF,XGB,organism
1AG9,7.817511973829957,8.136389742365616,11.812672412265426,12.207178089547902,8.74876802090942,6.117136861937387,escherichia coli
1AHN,3.01043374289214,6.91229968789429,12.345154453377164,11.736862511460123,8.32920998675689,7.116301566133214,escherichia coli
1AKR,0.790963600913586,0.3312408291540938,2.486879417974617,1.404999095347609,3.002940819768227,0.3330111854543131,desulfovibrio vulgaris subsp. vulgaris str.hildenborough 
1AKT,0.6310024518019305,2.2801121683372663,1.7788283385000523,0.4858096482652855,0.2797271348322373,1.4770956699431887,desulfovibrio vulgaris subsp. vulgaris str.hildenborough 
1AKW,8.963015471267259,1.3122624353248402,6.953502332823717,1.5719455858382876,2.42901673748648,1.458434104759647,desulfovibrio vulgaris subsp. vulgaris str.hildenborough 
1AZL,1.3776938121229834,0.6573939730381025,1.549783721947241,0.5914767927500771,2.396768608045728,0.6796573836967428,desulfovibrio vulgaris subsp. vulgaris str.hildenborough 
1B1C,5.156473796832969,15.904792669810515,9.16958758357927,8.730844776250128,10.577133108261103,8.011884809065958,homo sapiens
1B4V,14.668108970093687,0.367200208357371,8.842342747150582,10.500797269711171,7.0366605228866845,5.856061748970543,streptomyces sp.
1B8S,4.744285186496414,4.017256575358891,2.573351063039758,3.4993600216541507,0.5008065399421444,2.479481410912946,streptomyces sp.
1BUC,15.986242972491407,2.1076046447728487,3.6955635421184967,3.5137232191113297,7.8895672058718755,7.75912151048423,megasphaera elsdenii
1BVY,1.7251390711387793,5.290637748825162,0.7350258231508471,1.3649757452675526,5.533151680549466,1.0897637160093485,bacillus megaterium
1C0I,25.289889270039584,28.739135169955972,24.86875525783609,23.449032785203357,23.03845749637022,21.210403160832335,rhodosporidium toruloides
1C0K,3.6781373699059294,16.003475804067087,1.783634250973862,1.8968697142350142,4.8057981631965045,9.439732648947095,rhodosporidium toruloides
1C0L,7.846050124773429,12.032197230155163,12.218060962123761,2.371980702107519,8.83808766478602,6.9952621032132045,rhodosporidium toruloides
1C7E,5.606656798575999,0.929832958023147,2.457110930889809,1.0044589260044945,0.29548630692285244,1.0975559140597282,desulfovibrio vulgaris
1C7F,4.407094260018309,0.5593115998677964,2.314139574388265,0.34034971303502515,0.6636962477196546,0.20194043406733758,desulfovibrio vulgaris
1CF3,7.8007782314845455,5.095472772898121,3.422343921710374,6.478120349348854,13.012451986134575,12.880926440485359,aspergillus niger
1CNE,5.43542637127957,5.113679525171789,3.1836058493473187,2.443346922476982,2.4593998197780342,11.679405264631571,zea mays
1CZH,1.830334901640549,1.181807095419885,4.678941547448956,0.17234207597144346,1.503529264763316,0.9972520636839421,synechococcus elongatus
1CZK,6.203017093134544,0.2182696345585314,7.783448026703572,0.3654635614755384,1.0073802942924754,0.49101589258385714,synechococcus elongatus
1CZL,5.578618502639978,1.3568743365299163,2.793921671085788,0.3631989495283142,2.462214120519609,1.7875229731901192,synechococcus elongatus
1CZO,1.1496398421739447,0.22370513046715282,2.296341031583233,0.6529960901226071,1.409365852603027,1.9967078218762837,synechococcus elongatus
1CZR,4.851949050474016,0.2873108648998054,6.673070764802344,1.198961360429905,0.27018603694260956,1.7589925196393668,synechococcus elongatus
1CZU,3.9413326052247286,3.6654250218989746,4.088744323194441,1.5893370211338216,3.6295773909649505,1.9312316316692075,synechococcus elongatus
1D03,2.45216169896472,0.06750686514997026,1.1625748756719407,1.660320576806504,2.7268856730970157,1.471640730576961,synechococcus elongatus
1EA0,27.507313184096013,20.666019977638165,30.746625663449947,19.60078223431292,23.46924946274202,17.5745096409468,azospirillum brasilense
1EFP,1.220217094250731,3.2709012159253454,4.739393741852818,8.278811087938317,13.109687486175613,4.09911098248166,paracoccus denitrificans
1EFV,1.5384807492788675,8.366960862942477,6.347896526477827,9.144614540688096,13.120268654500569,8.817004261124072,homo sapiens
1EVI,1.1370551549645016,2.4916964985094614,0.8520990409635105,0.3913411127418561,2.0872086223321107,2.0428602027430527,sus scrofa
1F4P,2.187616648022689,1.2688561287914397,0.2668302815301432,0.7022015669890386,1.2897138441930829,1.1234300906822163,desulfovibrio vulgaris
1F76,1.0508275234874171,1.8144415606662627,6.28600736836988,10.05884820201558,12.454968040871309,2.7553299699594946,escherichia coli
1F8W,6.513727658329222,2.154832068716778,3.046728867779678,2.5286761403389524,1.7851831339694626,2.831180092695529,enterococcus faecalis
1FCD,15.139598783467713,22.726052315302585,19.401338508077366,23.082150259921217,16.68748557812324,20.604891393945753,allochromatium vinosum
1FDR,18.653682349142215,11.126779618646392,16.977366272014695,15.586294051077497,2.841246545335052,3.2786182924385003,escherichia coli
1FLA,3.250960163682258,2.605875219753732,5.505073196446746,4.371621221056337,1.6511673698082034,0.08515270022908636,clostridium beijerinckii
1FLD,1.1503722049553124,0.19108253274829395,0.9641964198440769,0.35595425200814346,0.39504094251920674,1.3458457024093238,clostridium beijerinckii
1FLN,0.7543283017344756,0.8638195574465252,1.3765285252119568,1.8596062397675994,0.893683995495201,1.1106785452975587,clostridium beijerinckii
1FLV,8.50561162897495,3.6031375535235335,7.774374111319771,8.33877110225448,5.717280348080722,6.1176343608112775,nostoc sp.
1FNB,7.535656567601924,1.668750044337333,4.144870499079309,2.7414890625442134,5.2802487794695425,3.180282311010613,spinacia oleracea
1FVX,7.636124415418026,4.480487528454542,4.8897859298917785,4.327123992152432,4.003968431725928,3.3958471719886467,clostridium beijerinckii
1FX1,2.5493648581093913,1.1569395257923076,3.4508611143696526,0.7115633541841849,2.441903001827404,6.520240912437439,desulfovibrio vulgaris
1GAL,7.912654396875669,5.13059053825783,5.495535255641919,7.02885589652449,11.611070137611696,14.440601150030812,aspergillus niger
1GAQ,2.516684789964594,3.9299018913945205,7.350146841938046,3.5759809705773433,7.931901251046017,4.493917413001759,zea mays
1GER,1.1056195716026485,4.72774660353427,0.43876430848768655,4.716810388008784,4.013418393119888,0.47800922938755586,escherichia coli
1GJR,5.5436738039036335,3.363707180139683,1.639219839939526,1.8728694742738785,1.6483135247377922,1.4331776476158666,anabaena sp.
1GOX,11.902740027335042,7.313114935917051,10.959082612366553,11.028219047033131,11.397142663378716,14.384046830411942,spinacia oleracea
1I1O,5.9149826166221935,9.188297302312591,7.275232217434146,8.423307546808244,7.59628901563845,5.260656275908993,desulfovibrio vulgaris
1IB0,5.247727350599617,10.091661633436505,7.812540741635395,7.33059062268876,8.56306931092316,13.672479791674874,rattus norvegicus
1IJH,16.894044237355377,13.814092821009737,16.687091077617406,15.217983659429901,16.58153161026291,8.330022874790945,streptomyces sp.
1IUW,2.971131637910292,8.345781566968173,0.7573078975974585,0.5840480969073105,2.8256957184508567,3.052583688318834,pseudomonas aeruginosa
1J8Q,2.5221499247056567,2.13844367994996,8.130031375376387,7.004736015268605,1.705144338009014,1.0560066065123892,desulfovibrio vulgaris
1JNR,11.397693215518299,13.426185707651616,8.138284640211477,9.450752531604044,11.249476585922428,11.149194547915585,archaeoglobus fulgidus dsm 4304
1JOA,4.416083390300087,5.497467824488657,3.766173837653848,4.476307771331323,7.738156158395806,7.125079626599738,enterococcus faecalis
1JRA,3.7903016447796025,11.36124262825413,0.5485914867657452,0.6635398039410112,2.273235996297145,5.3473187009283265,saccharomyces cerevisiae
1KBI,4.206086957905318,1.8608114545886831,7.3118002744421675,6.915355852382784,5.03451497456341,2.4293905033068683,saccharomyces cerevisiae
1KF6,2.279842172934347,4.923411494719813,3.1429103386175314,3.3296886098424148,9.363531958982119,4.283359661884409,escherichia coli
1KIF,3.503275250589445,4.269686217621073,1.3925675199559056,1.425127177385796,0.3157786824780017,1.9124847663016546,sus scrofa
1LDC,0.9791573925908212,1.8883360003325855,3.348343001809571,0.8948044135762423,4.4413084587735,3.2448574386113953,saccharomyces cerevisiae
1LTD,1.3865464726675252,0.8256441748699395,3.8359106112281998,0.756843831511079,0.49646412644555077,1.9441313841460661,saccharomyces cerevisiae
1M6I,10.143966774639392,28.721275834717908,16.386784639396858,17.74119956033343,21.786404137301837,21.53900448682657,homo sapiens
1N1P,6.248987023920848,22.991132310046872,2.4912363367936967,10.555428609569896,0.39631877041030755,4.19897741959524,streptomyces sp.
1NG3,5.292458125125864,8.599394288678353,8.807819249576577,9.703247796649169,10.032799793570518,8.780753015267155,bacillus subtilis
1NG4,2.3290158393352085,7.693239444785223,3.537005695354259,5.8418335501314775,4.085308264409914,9.584651129231041,bacillus subtilis
1NHP,1.501019041642851,5.888623748353756,1.247392961292042,0.3451576787373413,0.7015761213738693,5.7814834827846955,enterococcus faecalis
1NHQ,4.897687866572433,1.2139899166245858,1.5589438486157197,0.35963389195802076,1.0437703002184393,3.628093146512538,enterococcus faecalis
1NHR,4.442855381567044,4.61660596480493,0.32113601698023425,0.9026446396584935,0.9688344570174069,1.3176746711949612,enterococcus faecalis
1NPX,5.082478603933641,11.15076331869983,8.94912547423616,8.944633662142708,7.1155741892892195,8.30002447994508,enterococcus faecalis
1O97,12.654342698149879,8.90381189904883,8.72390475561662,9.809562690693646,11.199271488441424,3.5897107187696653,methylophilus methylotrophus
1OBO,5.233258146758969,2.1728054152692975,2.6093441055127617,1.3541534122950298,0.09245258347421606,0.3340861108399783,anabaena sp.
1OBV,3.845277258327453,1.9091423545195063,3.9949927413277364,2.8051607010677815,0.5231897732466692,1.6881416571581807,anabaena sp.
1P4C,9.375576467847026,6.478576984309974,7.063728639517663,6.660734749327669,4.792001252326996,7.30228507900995,"pseudomonas putida, spinacia oleracea"
1POW,13.544416950395984,13.957035080842658,12.252439224350473,12.515800497524236,15.340636516997993,15.98576225975834,lactobacillus plantarum
1QGZ,5.4774730826453215,4.364713151573567,3.20029815589952,2.8502775580245645,2.0998603819214448,2.0982203605187633,nostoc sp.
1QH0,3.6798651040096155,0.24262435678987307,2.5563431828151013,2.849049948043393,0.25878833425485415,1.0481663119267324,nostoc sp.
1QLB,1.305315866527701,12.525007715686993,3.1579612597165996,1.237355967054555,3.786111374809083,7.1682269532087615,wolinella succinogenes
1QLT,2.481252242579848,0.23779516422168417,5.235791596989556,3.2094729431992244,5.668935930751959,5.12206765842606,penicillium simplicissimum
1QLU,1.0397851144732861,0.38828097858039523,0.524350576331811,2.043669472541025,2.4305988199545197,7.768595699400393,penicillium simplicissimum
1QO8,1.8872977803599376,1.2039443977662991,2.2432215938842606,0.4060698658723695,3.573501256986526,7.425201262944169,shewanella frigidimarina
1QUE,9.662993526832093,7.411328643471544,6.962972566148599,5.558201402808278,7.429472016900258,5.932639863949394,nostoc sp.
1QUF,3.2050228038969655,3.398123697717055,1.0394103487027089,1.6132130192440743,0.864719346326204,3.451942504474095,nostoc sp.
1SIQ,2.6191513860429785,2.6774516061007523,3.291636999960658,0.19775900586764417,0.5057434188951986,6.735023490104306,homo sapiens
1TRB,2.627121933753052,2.0603084864145966,2.79782015374446,3.423807170697485,6.330742671396915,3.8847271987201886,escherichia coli
1VAO,0.6388233601035536,9.080904747306226,7.666907779506741,13.522952765472482,12.867616025921851,3.455190006299651,penicillium simplicissimum
1W34,7.441535444889911,11.188279370341142,4.920044932629752,6.183294429620736,7.59379458757998,7.076734929404351,anabaena sp.
1W35,2.4369990561850394,4.4407862348076526,0.4219384349337078,1.8432274404440019,1.5358027766365603,0.9589127478271566,anabaena pcc7119
1YCG,0.29009581340780216,0.6174417783375522,2.9713115525898326,1.2646418720155905,1.5535225507085246,0.8584518031510516,moorella thermoacetica
1YOB,4.589182302126968,0.8129992762289685,2.0875345852464817,0.6257649231207365,3.126514112324535,0.6974163418303932,azotobacter vinelandii
2CND,3.877121511319177,3.6170762262132903,2.975896575336421,2.950581386978744,6.767214381314696,3.2027903282831587,zea mays
2DU8,4.043469068416968,2.0494207760343324,2.725604130996305,2.7059289372971094,7.452266845214017,7.123045698246628,homo sapiens
2E48,5.823823969042736,2.20788407761933,1.5636473758070553,1.8272586396304582,0.4088889103008818,2.9383631672051846,homo sapiens
2FCR,4.551782595119632,0.8536873772228308,2.073538137496039,1.6664523055955005,3.397210751988852,3.217026273523058,chondrus crispus
2FLV,3.9045211898893286,0.05575162729032469,2.724546026752757,3.2218324514470362,5.234327973891966,5.07029784989315,clostridium beijerinckii
2FOX,7.986373497953416,0.43638333211509994,4.976889758958361,1.2832901478898078,1.3460465373751236,0.4802704399098795,clostridium beijerinckii
2FVX,2.6695132843630014,0.1545455395628207,1.6099105952339332,0.45410058574020995,0.27066753346396655,0.1542348396420689,clostridium beijerinckii
2J6X,3.692466336935751,4.004004011617047,3.0290174816002926,2.752785455131015,1.5929839281408544,1.5828429659207661,aerococcus viridans
2JBS,15.641476295294783,7.782425924660311,16.807492158177705,20.366942145923765,7.976770148539435,12.206301032004113,acinetobacter baumannii
2PIA,5.2065383668789185,2.863819972590547,2.7097980102599535,1.341367644961523,6.280273114082395,3.216520151608415,burkholderia cepacia
2R0C,6.265022291630347,0.9957021896329288,1.6062342839029273,0.7541323087922044,0.7998049446663584,0.7614528106970342,lechevalieria aerocolonigenes
2R0M,3.9326239909078624,3.109955909647548,3.096161460541288,2.65495114018442,1.379541927276198,1.5888766909907104,homo sapiens
2V5V,0.3817894542946413,1.8141945194328997,2.836862465761045,0.3320135010610573,3.63074785045299,0.6894995616647092,anabaena sp.
2VFR,21.76665853207858,5.018310572845089,14.577561907653811,20.00930312461287,3.7440882499906407,10.968830294425105,streptomyces coelicolor
2WC1,0.3725568137837051,1.5125761489537493,3.945900301586426,3.3546010770065613,3.7299099045953468,3.3761120469902353,rhodobacter capsulatus
2X3N,9.093291704115114,8.376906698652695,10.479164785561931,10.513144088717837,7.269063792956983,8.698749839073766,pseudomonas aeruginosa
2X3U,2.0803487186970697,0.4434931600857688,4.465355534892488,3.63519220990248,5.501653193195315,0.5722601057570658,anabaena sp.
2Z98,12.519188643945736,2.1629610057255495,3.5835902714246743,4.311913141429509,4.478744544997194,1.9885939608763976,escherichia coli
3AM9,16.725014104308787,2.5061914622048755,21.934983733379525,18.197070672194794,20.112722313808494,21.76815309874385,bos taurus
3CLR,6.388235655896336,3.055488091234129,9.376328759851715,2.3246048178340404,8.155391550964849,4.964889313184395,methylophilus methylotrophus
3CLS,5.241008427777466,3.2560800069310942,2.0696286078777364,0.16142641722242257,1.9575124747345065,7.131271140978029,methylophilus methylotrophus
3CLT,3.6091014435084476,3.695367429050891,3.1313957773073136,1.4237325580601297,1.1257342489145263,2.2293456408733623,methylophilus methylotrophus
3COX,9.263283253735478,13.632918135009964,8.45602085207621,10.317799702477291,1.3716412768571353,5.581360710331582,brevibacterium sterolicum
3D2D,23.019612443501092,30.19350479549031,27.767347596833154,30.047473997249362,27.402386984931148,26.91351753105352,eschscholzia californica
3D9G,24.674981021684196,27.23554470220005,18.99223497063405,22.318478365804484,28.104380174296704,29.565718070497798,fusarium oxysporum
3F90,12.42431219368972,2.748677637153987,7.974749480328448,5.367831076432539,3.677638569875724,1.6885091848768674,desulfovibrio desulfuricans
3FJO,12.69285145407446,15.390738860112066,14.538596287920651,11.9937216509422,12.548488075990791,15.940988858595517,"saccharomyces cerevisiae, homo sapiens"
3FW8,3.4067688704149317,15.950728943981906,11.420206173134806,8.228764992602716,13.322401845136735,7.930632251959682,eschscholzia californica
3KAP,8.561571991724618,3.704071648289827,5.045718180943145,2.2541140395674963,0.4132969646158515,0.2898023004843024,desulfovibrio desulfuricans subsp.desulfuricans str. atcc 27774 
3KAQ,1.7786707252245582,2.965485769379755,2.8917484226331625,0.636352208513278,2.8283486519011656,4.808851902484894,desulfovibrio desulfuricans subsp.desulfuricans str. atcc 27774 
3NLL,1.604142572115577,1.8766685039926234,0.46201499801770574,2.3205975914315333,1.2086021321717157,1.3720858927672923,clostridium beijerinckii
3QFS,4.464729452266735,12.873079894052506,7.774036481455044,6.240543756940843,11.304847514307912,9.671083731289684,homo sapiens
3QJ4,3.4621302269236787,6.943408775271895,1.6363295503349398,0.6439053099788618,2.4797421893742415,2.317549106519689,homo sapiens
3QVP,1.172265490782906,4.708875017220533,3.955140408059939,3.2468654120652296,7.545391163249873,4.627005987013879,aspergillus niger
3SFD,0.5848769175239499,2.185434828857276,1.604722309796479,1.9617386952013718,4.226781818035962,1.5615326924025488,sus scrofa
3W2E,1.298568535737438,2.7374980659616184,2.6123633048775887,4.506510045770826,0.3378911635124227,2.4413732411747886,sus scrofa
3W2F,3.0518133414896633,2.5935219723172858,0.6030190123262152,1.4826557628029489,0.2620710098333471,0.9502792850520455,sus scrofa
3W2G,9.68079653213423,6.383929444240529,8.98091533389674,9.035998344445044,7.097829490398885,7.678178318118713,sus scrofa
3W2H,4.0658425590010605,1.3296531381978782,4.0770022956839505,0.6048855995777834,0.7592162725797681,0.8065084546163179,sus scrofa
3W2I,0.5075052623393944,0.6434080581555458,0.9052124557857102,0.5024569334779037,2.430345481764557,5.503407010493875,sus scrofa
3ZBT,8.26098821129925,3.7628402997447425,7.276271106866399,7.021938750837213,5.472177747988796,2.4109514385051827,nostoc sp. pcc7119
3ZBU,11.273722232468515,2.2243416070616027,11.3638991046903,7.986486016605626,4.24070448405178,0.3844244033991765,nostoc sp. pcc7119
4BPR,8.995327194199202,3.5073431502828285,9.851085597071467,7.59739831955788,4.887255285789422,2.515826804238442,anabaena sp.
4D02,12.711862545268598,11.896082796926226,10.941583773938115,9.716209706017441,6.0563582304036725,11.972228536677317,escherichia coli k-12
4DQK,8.865937175162475,6.984196587496662,8.831498235401558,9.740474605402472,9.163628548818897,5.325774016493843,bacillus megaterium
4FEG,1.5642805635897497,8.274071549241032,2.3567765404348453,5.785640093342221,3.583949049057008,1.6003101688287036,lactobacillus plantarum
4JDR,16.025212781836093,9.823398884333507,12.622479130269628,12.332298884872003,11.795999555309335,7.381614554819817,escherichia coli
4KPU,9.336482059444181,12.427719380080175,10.2582572403897,9.913110554156594,3.045458720072569,6.6861894987584005,acidaminococcus fermentans
4L1F,10.930439030550684,9.354399017481324,12.050622970381827,9.159674057643585,9.212327843989339,7.325989000893985,acidaminococcus fermentans
4MJW,11.435079346411378,22.183011976281698,10.269642239222723,17.78715075148934,19.086971642984004,16.000432191011765,arthrobacter globiformis
4NLL,0.8317405744538992,0.622142169086559,2.6799179275915437,1.7816876035809066,0.7742550075407133,2.1959720524110073,clostridium beijerinckii
